title,street_name_and_no,zip_code,city,country,website,domain,phone
Park Café Trattoria-Pizzeria,Dr.-Marx-Straße 2,54470,Bernkastel-Kues,Deutschland,http://park-cafe.eu/,park-cafe.eu,+49 6531 6127
Nonnenhof's Weincafé,Am Wochenmarkt 23,56850,Enkirch,Deutschland,http://www.weingut-nonnenhof.de/,weingut-nonnenhof.de,+49 6541 4930
"Coffee Fellows - Kaffee, Bagels, Frühstück","K2, Sicherheitsbereich Halle A+B, Flugplatz Hahn Gebäude 500",55483,Lautzenhausen,Deutschland,https://coffee-fellows.com/locations/frankfurt-hahn-airside,coffee-fellows.com,+49 6543 509113
WINKELWERKSTATT hotel + café,Robert-Schuman-Straße 46,54536,Kröv,Deutschland,https://winkelwerkstatt.net/,winkelwerkstatt.net,+49 6541 7015115
Café Friends,Zehntgasse 2,56856,Zell (Mosel),Deutschland,https://cafefriends.eatbu.com/?lang=de,cafefriends.eatbu.com,+49 1514 6453257
Korkenzieher Restaurant Café,Hauptstraße 86,56867,Briedel,Deutschland,http://www.korkenzieher-briedel.de/,korkenzieher-briedel.de,+49 6542 1814014
Antoniuskeller Zell,Römerstraße 2,56856,Zell (Mosel),Deutschland,https://antoniuskeller-zell.business.site/?utm_source=gmb&utm_medium=referral,antoniuskeller-zell.business.site,+49 170 8833778
GLOBUS Restaurant Zell,Fliehburgstraße 4,56856,Zell (Mosel),Deutschland,https://www.globus.de/zell-an-der-mosel/unser-restaurant.php,globus.de,+49 6542 708143
Backhaus & Cafe Schrey Kirchberg,Hauptstraße 75,55481,Kirchberg (Hunsrück),Deutschland,http://www.schrey.cafe/,schrey.cafe,+49 6763 9390130
Cafe Jung,Emil-Thomas-Straße 1,55481,Kirchberg (Hunsrück),Deutschland,http://www.jung-back.de/,jung-back.de,+49 6763 9394344
Café & Kino Heimat,Biergasse 5,54497,Morbach,Deutschland,http://cafe-heimat-morbach.de/,cafe-heimat-morbach.de,+49 6533 9588203
Café Hansen,Fährstraße 2,54492,Zeltingen-Rachtig,Deutschland,http://www.cafe-hansen.de/,cafe-hansen.de,+49 6532 3152
"Weingut Borchert, Restaurant & Café",Oberbachstraße 30,56814,Ediger-Eller,Deutschland,http://www.moselhof.de/,moselhof.de,+49 2675 1560
Hotel-Restaurant Elfenmühle,Kurfürstenstraße 1,56864,Bad Bertrich,Deutschland,http://www.elfenmuehle.de/,elfenmuehle.de,+49 2674 9136828
La Dolce Vita - Pizzeria,Bäderstraße 34,56864,Bad Bertrich,Deutschland,https://www.facebook.com/LaDolceVita.Pizzeria.BadBertrich/,facebook.com,+49 2674 9139539
Pizzeria Ristorante Mammamia,Clara-Viebig-Straße 1,56864,Bad Bertrich,Deutschland,http://www.mammamia-sophie.de/,mammamia-sophie.de,+49 2674 2490231
Hotel - Restaurant Zumbusch,Kurfürstenstraße 38,56864,Bad Bertrich,Deutschland,http://www.hotel-zumbusch.de/,hotel-zumbusch.de,+49 2674 265
Hotel Alte Mühle,Bäderstraße 46,56864,Bad Bertrich,Deutschland,http://www.hotel-altemuehle.de/,hotel-altemuehle.de,+49 2674 1880
Carpe Diem,Feldstraße 11,54516,Wittlich,Deutschland,http://www.carpediem-wittlich.de/,carpediem-wittlich.de,+49 6571 1480888
Café Flesch Bäckerei Hauptgeschäft Landscheid,Hauptstraße 70-72,54526,Landscheid,Deutschland,http://www.cafe-flesch.de/,cafe-flesch.de,+49 6575 8688
BobaDöpp,Im Eck 2,56858,Peterswald-Löffelscheid,Deutschland,http://www.bobadoepp.com/kontakt,bobadoepp.com,+49 160 4418808
Sichtbar Kastellaun,Bopparder Str. 1,56288,Kastellaun,Deutschland,http://sichtbar-kastellaun.de/,sichtbar-kastellaun.de,
Kunst- & Kulturcafé Maull,Marktstraße 4,56288,Kastellaun,Deutschland,https://instagram.com/cafe_maull?igshid=OGQ5ZDc2ODk2ZA==,instagram.com,+49 174 3195342
Bäckerei Dhein,Gemündener Str. 10,55469,Simmern (Hunsrück),Deutschland,http://www.baeckerei-dhein.de/,baeckerei-dhein.de,+49 6761 9162322
